row,id,date,query,handle,tweet
9,1467812025,Mon Apr 06 22:20:09 PDT 2009,NO_QUERY,mimismo,@twittera que me muera ?
224,1467871661,Mon Apr 06 22:35:41 PDT 2009,NO_QUERY,ciairuhh,"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone."
231,1467872181,Mon Apr 06 22:35:50 PDT 2009,NO_QUERY,admdrw,@charlietm I know right. I dunno what is going on with twitter.
562,1467951568,Mon Apr 06 22:57:59 PDT 2009,NO_QUERY,spcake,@chordsy - why am I the last to find out about these things? Like that you're on the twitter too.
611,1467966271,Mon Apr 06 23:02:00 PDT 2009,NO_QUERY,leelaaa,finding it really hard to use twitter
680,1467983247,Mon Apr 06 23:06:50 PDT 2009,NO_QUERY,MichaelPe,@FollowSavvy I never found her. everytime I click on her twitter thing through your myspace..... it goes to some dude's page
700,1467986284,Mon Apr 06 23:07:43 PDT 2009,NO_QUERY,Christiansegall,trying to figure out this twitter thing...none of my friends are on  yet. Soo much to see.
725,1467992696,Mon Apr 06 23:09:35 PDT 2009,NO_QUERY,pop_corn_,I feel like I am the only &quot;twitterer&quot; not on TweetDeck.
730,1467993829,Mon Apr 06 23:09:55 PDT 2009,NO_QUERY,jmbirney,"I reaaly miss john mayer's twitters.  fuck rude people. Remove him if you don't like his tweets, bitchfucks."
820,1468013368,Mon Apr 06 23:15:36 PDT 2009,NO_QUERY,JaniceMyNig,Haha not even yo. I just didn't know how to do that @thang to you on twitter  Haha
842,1468020159,Mon Apr 06 23:17:38 PDT 2009,NO_QUERY,SpazOfDrool,just found out that my mum  and my adopted auntie are on twitter.. check them out my mum is TessM64 and my awesome as auntie is tania38
989,1468053611,Mon Apr 06 23:28:09 PDT 2009,NO_QUERY,mariejamora,@hellobebe I also send some updates in plurk but i upload photos on twitter!  you didnt see any of my updates on plurk? Zero?
1071,1468074597,Mon Apr 06 23:34:32 PDT 2009,NO_QUERY,PeterHC,Used the term &quot;Fail Whale&quot; to a client on a pitch last night. From their incomprehension corp twitter is being done much lower in the org
1084,1468076724,Mon Apr 06 23:35:10 PDT 2009,NO_QUERY,RebeccaLange,"@sarahprout tweetfinder hates me  and I was having trouble with background on twitter,what do you think?"
1128,1468087595,Mon Apr 06 23:38:42 PDT 2009,NO_QUERY,rstolan,@brendamew2 no art tomorrow.  and nice to see you've joined twitter!
1145,1468094825,Mon Apr 06 23:41:05 PDT 2009,NO_QUERY,marie_660,"too cold and tired to write good twitter. everyone was obeying the cops tonight, total dissappointment. we were so close"
1167,1468099029,Mon Apr 06 23:42:28 PDT 2009,NO_QUERY,webmyc,@twitter please fix this http://sp2.ro/5b7bdb because it brakes all external twitter avatar searches
1284,1468122378,Mon Apr 06 23:50:12 PDT 2009,NO_QUERY,TrueFollowers,"@powerpoole some people try to be tricky, some stop using twitter at all  i guess it's as good as it gets! i had to try."
1348,1468133469,Mon Apr 06 23:53:59 PDT 2009,NO_QUERY,Samm_xo,@garretjiroux do u write back on twitter? i miss ya garee...  x
1395,1468144341,Mon Apr 06 23:57:33 PDT 2009,NO_QUERY,AshleyMoore21,re newing my twitter
1415,1468147690,Mon Apr 06 23:58:44 PDT 2009,NO_QUERY,SR__,why luke worral doesnt have twitter?
1417,1468148422,Mon Apr 06 23:58:59 PDT 2009,NO_QUERY,danadearmond,twitter is a lot less interesting since cute people suddenly stopped flirting with me
1444,1468156574,Tue Apr 07 00:01:29 PDT 2009,NO_QUERY,rschu,It seems that Twitter lost some updates yesterday - again!!  #twitter #fail
1476,1468161290,Tue Apr 07 00:03:01 PDT 2009,NO_QUERY,devakishor,@rampantheart can do everything except add a twitter field in the comment..
1484,1468162941,Tue Apr 07 00:03:32 PDT 2009,NO_QUERY,Hollywood_Trey,@shalinique For saying 2 may change up ur twitter game I like u just the way u r on here
1499,1468167941,Tue Apr 07 00:05:08 PDT 2009,NO_QUERY,racadwall2,stupid thing wont let me get into my old twitter page so i had to make a new one
1591,1468191716,Tue Apr 07 00:12:46 PDT 2009,NO_QUERY,MizTiffanyJoy,I am awake now because of twitters! I was just dozing off. . .
1670,1468207090,Tue Apr 07 00:17:53 PDT 2009,NO_QUERY,SkaiKang,has realized that twitter is getting more attention from her mama then she is....hahaha  LAME!
1714,1468215977,Tue Apr 07 00:20:53 PDT 2009,NO_QUERY,marthaFRESH,yo that was hella weird my twitter got deleted
1768,1468228341,Tue Apr 07 00:25:13 PDT 2009,NO_QUERY,pauldthompson,"@RussyRhubarb A new twitter name without telling me? Boo. By the way, I think Oberon is dead  Haven't seen him for ages..."
1824,1468243314,Tue Apr 07 00:30:19 PDT 2009,NO_QUERY,StarButterfly07,Haven't tweeted in ages my twitterberry doesn't work anymore help!
1969,1468276361,Tue Apr 07 00:41:46 PDT 2009,NO_QUERY,Sholaa,"@dadi_iyal and you'll get familiar with twitter pretty soon!!! i'm not coming back this summer, so that means i dont even see you then?!"
2000,1468281702,Tue Apr 07 00:43:38 PDT 2009,NO_QUERY,RichardFWatson,"Morning twitterati...... Large coffee and a bath on top of todays list, first appt 10am then loads of desk work."
2144,1468314947,Tue Apr 07 00:55:25 PDT 2009,NO_QUERY,stripeboy,"just found that if I use Windows 7 to browse twitter.com, the firewall software will automatically turns off, and the PC hangs."
2186,1468323495,Tue Apr 07 00:58:35 PDT 2009,NO_QUERY,shmulyh,just joined twitter and doesnt know anyone yet...
2199,1468327876,Tue Apr 07 01:00:09 PDT 2009,NO_QUERY,punk_smooth,isnt there any way we could update twitter through our cellphones
2250,1468338403,Tue Apr 07 01:03:44 PDT 2009,NO_QUERY,gazman193,I think I should not use twitter as I offend people unintentionally
2254,1468338733,Tue Apr 07 01:03:51 PDT 2009,NO_QUERY,beautiifulstrug,Gnite twitter world..long day tomorrow. Night class till 10pm
2272,1468340529,Tue Apr 07 01:04:30 PDT 2009,NO_QUERY,moriesbel,shutting off twitter
2282,1468343256,Tue Apr 07 01:05:28 PDT 2009,NO_QUERY,howlingmadhowie,"mm, twitter appears to have eaten some of my posts. naughty twitter"
2358,1468360001,Tue Apr 07 01:11:34 PDT 2009,NO_QUERY,kiryn,"thats it!, im folding and getting tweetie for my iphone - #twitteriffic is taking toooo long to update!.  i need grouping &amp; replies."
